English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
CONFLICT OF INTEREST,"When you have two different interests at the same time.  For example, a lawyer who represents two sides at the same time can't be fair.",CONFLICTO DE INTERESES,Cuando una persona tiene dos intereses diferentes al mismo tiempo. Por ejemplo un abogado que representa las dos partes de un juicio al mismo tiempo no puede  ser justo.,
CONFORM COPIES,"To make copies identical to an original; e.g., copies with duplicate signatures, duplicate dates.",COPIAS CONFORMES,Hacer copias idénticas a las originales; por ejemplo copias con firmas y fechas duplicadas.,
CONFRONTATION RIGHT,"Defendant’s right to be face–to–face with the witnesses against him or her.  It generally includes the right to ask questions and object, and to have witnesses testify in person.",DERECHO DE CONFRONTACION O CAREO,"El derecho del acusado de encararse con testigos adversos. Incluye generalmente el derecho de hacer preguntas y oponerse, y obligarlos a que testifiquen en persona.",
CONSANGUINITY - COLLATERAL,"The relationship that exists between persons who have the same ancestors, but who do not descend, or ascend, one from the other; as between uncle and nephew.",CONSANGUINIDAD COLATERAL,"La relación que existe entre personas que tienen los mismos antepasados, pero que no descienden ni ascienden uno del otro; como entre tío y sobrino.",
CONSANGUINITY - LINEAL,"The relationship that exists persons of whom one is descended in a direct line from the other, as between son, father, grandfather, and so upwards in the direct ascending line; or between son, grandson, great–grandson, and so downwards in the direct descending line.",CONSANGUINIDAD LINEAL,"La relación que existe entre personas que descienden en línea directa, como entre hijo, padre, abuelo, y más, en línea ascendiente directa; o entre hijo, nieto, bisnieto, y más, en línea descendiente directa.",
CONSECUTIVE SENTENCES,"Successive sentences, one beginning at the end of another, imposed against a person convicted of two or more violations.",SENTENCIAS  CONSECUTIVAS,"Sentencias o condenas sucesivas, una comienza al final de la  otra, impuestas contra  personas condenadas  por dos o más delitos.",
CONSERVATEE,"Someone who can't take care of themselves and has a caretaker (called the ""CONSERVATOR"") who the court picked.",PERSONA BAJO TUTELA O PUPILO,Persona que no se puede cuidar a sí misma y tiene un vigilante escogido por el tribunal (llamado TUTOR).,
CONSERVATOR,"Someone picked by the court to either take care of someone who can't take care of themselves (called a ""CONSERVATEE"") or take care of that person's property , or both.",TUTOR,"Persona escogida por el tribunal que cuida de una persona que no puede cuidarse por sí misma (llamada PUPILO) o cuida la propiedad de esa persona, o ambas cosas.",
CONSERVATORSHIP,"A court proceeding where a judge picks someone (a conservator) to take care of an adult's personal needs and/or his or her finances.  For minors, see GUARDIANSHIP.",TUTELAJE,"Un proceso en un tribunal en el que el juez escoge a una persona (un TUTOR) para que cuide de las necesidades personales y/o las finanzas de un adulto. Para menores, vease CUSTODIA.",
CONSENT,A written agreement to obey a decision or deal.,CONSENTIMIENTO,Un acuerdo escrito para obedecer una decisión o un acuerdo.,
CONSIDERATION,"The cause, price, or impelling influence which makes a party enter into a contract.",CONSIDERACIÓN,"La causa, el precio, o la influencia decisiva que hace a una de las partes participar en un contrato.",
CONSOLIDATION OF ACTIONS,When at least two cases that involve the same people are grouped together.,CONSOLIDACIÓN DE ACCIONES,Cuando por lo menos dos casos que implican a las mismas personas se juntan.,
"CONSORTIUM, LOSS OF",Unable to have a sexual relationship between a husband and a wife.,PÉRDIDA DE CONSORCIO,La incapacidad de tener relaciones sexuales entre un marido y su mujer.,
CONSPIRACY,Where two or more persons intentionally agree to commit crime and do an act towards committing the crime.,CONSPIRACIÓN,Cuando dos o más personas se ponen de acuerdo intencionalmente para cometer un delito y actúan con el propósito de cometer el delito.,
CONSTRUCTIVE POSSESSION,"Where a person does not actually possess a thing, but knowingly has control over it.",POSESIÓN CONTRUCTIVA,"Cuando una persona no posee directamente un objeto, pero tiene a sabiendas el control sobre dicho objeto.",
CONSTITUTION,"The central law of our country that sets up the creation, character, and organization of its power and how that power is exercised. The rule, principles, descriptions of the government’s power, and the main rights that the people of a country or state have.",CONSTITUCIÓN,"La ley central de nuestro país que define la creación, el carácter, y la organización de su poder y cómo ese poder es ejercido. La regla, los principios, las descripciones del poder del gobierno, y los derechos principales que las personas de un país o estado tienen.",
CONSTITUTIONAL RIGHT,"A right guaranteed by the U. S. Constitution, interpreted by the federal courts; also, a right guaranteed by some other constitution (such as a state constitution).",DERECHO CONSTITUCIONAL,"Un derecho garantizado por la Constitución de los EE.UU., interpretado por los tribunales federales; también, un derecho garantizado por alguna otra constitución (tal como una constitución del estado).",
CONTEMNOR,One who has committed contempt of court.,DESACATADOR,Persona que ha cometido desacato al tribunal.,
CONTEMPORARY COMMUNITY STANDARD,"What is, objectively acceptable to the community as a whole.  Ascertainment of the standard must be based upon an objective determination of what is unacceptable to the community as a whole.  Your own personal, social, or moral views on the material involved in the case may not be considered.",ESTÁNDAR CONTEMPORÁNEO DE LA COMUNIDAD,"Lo que es, objetivamente aceptable para la comunidad en general. La comprobación del estándar se debe basar sobre una determinación objetiva de lo que es inaceptable para la totalidad de la comunidad. Las opiniones personales, sociales o morales de una persona en la materia implicada en el caso no se pueden considerar.",
CONTEMPT OF COURT,Disobeying a court order. Punishment can be a fine or jail.,DESACATO AL TRIBUNAL,Desobeder una orden del tribunal. El castigo puede ser una multa o la cárcel.,
CONTINUANCE,Putting off a court case to a later date. (See ADJOURNMENT).,APLAZAMIENTO,La postergación de un caso judicial a una fecha posterior.,
CONTINUING EXCLUSIVE JURISDICTION,"Theory that only one support order should be valid between the same people at a time.  And when a court hears a child support case, it can add to and change that order.  The court of continuing exclusive jurisdiction has control over a support case until another court takes it away. This is defined in the Uniform Interstate Family Support Act (UIFSA).",JURISDICCIÓN EXCLUSIVA CONTINUADA,"La teoría que sólo una orden de sustento puede ser válida entre las mismas personas al mismo tiempo. Y cuando un tribunal conoce un caso de sustento de menores, puede incrementar o cambiar la orden. El tribunal de la jurisdicción exclusiva continuada tiene el control sobre un caso de apoyo hasta que otro tribunal tome el caso. Esto se define como el Acto Interestatal Uniforme de Sustento Familiar.",
CONTRACT,"(1) an agreement between two or more people to do or not to do a particular thing; (2) an agreement between two or more people that makes, changes, or ends a legal relationship.",CONTRATO,"(1) Un acuerdo entre dos o más personas para hacer o no hacer algo en particular; (2) un acuerdo entre dos o más personas que crea, cambia o termina una relación legal.",
CONTRIBUTORY NEGLIGENCE,"A legal doctrine that says if the plaintiff in a civil action for negligence also was negligent, in any way, he or she cannot recover damages from the defendant for the defendant's negligence.",NEGLIGENCIA CONTRIBUYENTE,"Una doctrina legal que declara que si el demandante en una acción civil por negligencia fue también negligente, no puede de ninguna manera recuperar daños por la negligencia del acusado.",
CONTROLED SUBSTANCES,"Any drug identified by law whose availability is restricted.  Unless otherwise specified, a drug, substance, or immediate precursor which is listed in any schedule in Health & Safety Code sections 11054, 11055, 11056, 11057 or 11058.",SUSTANCIAS CONTROLADAS,"Cualquier droga identificada por la ley cuya disponibilidad es restringida. A menos que sea especificado de otra manera, una droga, substancia, o precursor inmediato están anotados en el código de Salud y Seguridad en las secciones 11054, 11055, 11056, 11057 o 11058.",
CONVERSION,The wrongful assumption of ownership over the goods or personal property belonging to another.,CONVERSIÓN,La suposición injusta de propiedad sobre objetos que pertenecen a otra persona.,
CONVEY,(1) to give the title to property to someone else.  (2) to make known or communicate.,TRANSFERIR,(1) traspaso del título de propiedad a otra persona. (2) hacer conocer o comunicar.,
CONVICT,(1) A person who has been found guilty of a crime and is serving a sentence for that crime; a prison inmate. (2) To find a person guilty of an offense by either a trial or a plea of guilty.,CONDENADO,(1) Una persona que ha sido declarada culpable de un delito y sirve una condena por ese delito; un interno de una prisión. (2) Determinar que una persona es culpable de un delito por juicio o por declaración de culpabilidad.,
CONVICTION,When a judge or jury finds a criminal defendant guilty.,CONDENA,Cuando un juez o el jurado encuentra a un acusado en un caso penal culpable.,
CORONER,Public official charged to inquire into the causes and circumstances of any death which occurs through violence or suddenly (suspicious causes).,MÉDICO FORENSE,Funcionario público encargado de determinar las causas y circunstancias de cualquier muerte que ocurra por violencia o súbitamente (causas sospechosas).,
CORPORATION,"A group of persons who get a charter granting them as a body certain legal powers, rights, privileges, and liabilities as an individual.",CORPORACIÓN,"Un grupo de personas que obtiene un acto constitutivo que les reconoce como grupo con ciertos poderes legales, derechos, privilegios, y obligaciones como un individuo.",
